DISTANCE;ALTITUDE;DYN_PRESS;SHIP:VELOCITY:SURFACE:MAG;PITCH;g_LOSS
0;87.5853887477424;5.82770201614074E-11;0.00321706149761699;89.3480993738193;9.80936503197201
0;87.5853887477424;5.82767739298521E-11;0.00321670770929748;89.3480910074053;9.80936501567388
0;87.5853887477424;5.82740445298688E-11;0.00321717316082351;89.3480948887442;9.80936502323492
0;87.5853887477424;5.82757805425975E-11;0.00321687915216643;89.3480832176106;9.80936500049884
0;87.5853887477424;5.82725569114203E-11;0.00321775890441469;89.3480809947517;9.80936499616852
0;87.5853887477424;5.82748426722812E-11;0.00321747605965154;89.3480843388735;9.80936500268314
0;87.5853887477424;5.82748545381942E-11;0.00321815381035573;89.3480766346809;9.80936498767471
0;87.5853887477424;5.82792052632696E-11;0.00321766824024489;89.3480742997518;9.80936498312603
0;87.5853887477424;5.82797266589625E-11;0.00321800742210977;89.3480743000934;9.80936498312669
0;87.5853887477424;5.82801737137235E-11;0.00321789104317931;89.3480799327432;9.80936499409964
0;87.5853887477424;5.82863163731821E-11;0.00321829736287356;89.3480810539948;9.80936499628393
0;87.5853887477424;5.82893784842588E-11;0.00321772179140036;89.3480832768231;9.80936500061419
0;87.5853887477424;5.82945143545003E-11;0.00321762825368797;89.3480844244199;9.80936500284979
0;87.5853887477424;5.82947742499886E-11;0.00321721907967862;89.3480832768231;9.80936500061419
0;87.5853887477424;5.82967567432732E-11;0.00321749350930258;89.3480888437011;9.80936501145886
0;87.5853887477424;5.82927480395541E-11;0.00321763141717394;89.3480942594368;9.809365022009
0;87.5853887477424;5.82943796166563E-11;0.00321658595978866;89.3480905880095;9.80936501485687
0;87.5853887477424;5.82902528937002E-11;0.00321723336425912;89.3480898597931;9.80936501343827
0;87.5853887477424;5.82826896574375E-11;0.00321728326277719;89.3480844244199;9.80936500284979
0;87.5853887477424;5.82790188326593E-11;0.00321724540420249;89.3480965743057;9.80936502651847
0;87.5853887477424;5.82762269036704E-11;0.00321731762082018;89.3480942594368;9.809365022009
0;87.5853887477424;5.82722863280607E-11;0.00321696420820534;89.3480977348861;9.80936502877932
0;87.5853887477424;5.82713738393489E-11;0.00321701228098318;89.3480954924286;9.80936502441092
0;87.5853887477424;5.82707665656047E-11;0.00321666387985863;89.348104317959;9.80936504160331
0;87.5853887477424;5.82678045278439E-11;0.00321781617749045;89.3480943251325;9.80936502213698
0;87.5853887477424;5.82722696947756E-11;0.00321685915980123;89.3480960824298;9.80936502556027
0;87.5853887477424;5.82729597491956E-11;0.00321763981679554;89.3480971576558;9.80936502765485
0;87.5853887477424;5.82739112277893E-11;0.00321719464458143;89.3481005478123;9.80936503425899
0;87.5853887477424;5.8273734102061E-11;0.00321746364827256;89.3480976758796;9.80936502866437
0;87.5853887477424;5.82728469053222E-11;0.00321704840615808;89.3481037998523;9.80936504059403
0;87.5853887477424;5.82736549957074E-11;0.00321667460037018;89.3481005017766;9.80936503416931
0;87.5853887477424;5.82724319927597E-11;0.00321712706232932;89.3480899058225;9.80936501352793
0;87.5853887477424;5.82758261258851E-11;0.00321645101996782;89.348090961377;9.80936501558421
0;87.5853887477424;5.82698360671205E-11;0.00321717653811553;89.348085499644;9.80936500494441
0;87.5853887477424;5.82709815102884E-11;0.00321685245127178;89.3480876566198;9.80936500914635
0;87.5853887477424;5.82675066077951E-11;0.0032175917465063;89.3480910270762;9.8093650157122
0;87.5853887477424;5.82681628973866E-11;0.00321700402776646;89.3481026589211;9.80936503837148
0;87.5853887477424;5.82665048121704E-11;0.00321746763408529;89.3480928108346;9.80936501918706
0;87.5853887477424;5.82643863168868E-11;0.00321694724699499;89.3480982789208;9.80936502983912
0;87.5853887477424;5.82648957302327E-11;0.00321669292750032;89.3480832176106;9.80936500049884
0;87.5853887477424;5.82633304630097E-11;0.0032167237660089;89.3480909810484;9.80936501562253
0;87.5853887477424;5.82655976056645E-11;0.00321648426593348;89.3480899452687;9.80936501360478
0;87.5853887477424;5.82632563656498E-11;0.00321731890628225;89.3480793688738;9.80936499300117
0;87.5853887477424;5.8264958432904E-11;0.00321707357845478;89.3480910270762;9.8093650157122
0;87.5853887477424;5.82633391311009E-11;0.00321764364319748;89.348085499644;9.80936500494441
0;87.5853887477424;5.82678666000168E-11;0.00321720809368439;89.3480842928361;9.80936500259346
0;87.5853887477424;5.82669337946258E-11;0.00321805633210936;89.3480831255293;9.80936500031945
0;87.5853887477424;5.82680623413755E-11;0.00321821324669867;89.3480832111286;9.80936500048621
0;87.5853887477424;5.82771243998455E-11;0.00321782236576846;89.348085499644;9.80936500494441
0;87.5853887477424;5.82811041236249E-11;0.00321797673938397;89.3480886925032;9.80936501116431
0;87.5853887477424;5.82872956460313E-11;0.0032181873920518;89.3480866012182;9.80936500709035
0;87.5853887477424;5.82934521309247E-11;0.00321863987860296;89.3480886925032;9.80936501116431
0;87.5853887477424;5.82991331208902E-11;0.00321784257484637;89.3480832768231;9.80936500061419
0;87.5853887477424;5.83006501115378E-11;0.00321850306287153;89.3480865551991;9.80936500700071
0;87.5853887477424;5.83074738246109E-11;0.00321779765348395;89.3480866012182;9.80936500709035
0;87.5853887477424;5.83077859941169E-11;0.0032182152269396;89.3480865617242;9.80936500701342
0;87.5853887477424;5.83077084903698E-11;0.00321800109842563;89.3480898137615;9.80936501334859
0;87.5853887477424;5.83070116530195E-11;0.00321809981372378;89.3480865551991;9.80936500700071
0;87.5853887477424;5.83062844540309E-11;0.00321817837462505;89.3480899716099;9.80936501365609
