g;VelZ:mag;VelX:mag;VelY:mag;alt:radar;throt;thr;acc;twr_targ;_tti;tr:tti;tMNV
9.80750914906181;0.611960504641742;0.000287757501163059;0.00432378451502517;6.44364595413208;1;168.405197143555;30.8928015759059;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;0.128252247752376;0.00483022288766798;0.000920593158458254;6.44364595413208;1;168.405197143555;30.9005698608688;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;0.343413391504975;0.0102580912992978;0.00242642869974458;6.45050048828125;1;168.405197143555;30.9083393486387;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;0.803037313619341;0.0160018200046583;0.00566972526002139;6.46654033660889;1;168.405197143555;30.9161154507878;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;0.803037313619341;0.0220036786029182;0.00883420965353589;6.491530418396;1;168.405197143555;30.9161154507878;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;1.25061612187361;0.0220036786029182;0.00883420965353589;6.52522802352905;1;168.405197143555;30.9238954666368;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;1.68614209169103;0.0281469740619629;0.0119292730111391;6.52522802352905;1;168.405197143555;30.9316766900626;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;2.10962686921192;0.0342002724885683;0.014993023799945;6.56738996505737;1;168.405197143555;30.939464540816;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;2.53325868630479;0.0397010034229619;0.0182429749749704;6.61801719665527;1;168.405197143555;30.9472563141433;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;2.95702655850138;0.0453205811582457;0.0221260707715515;6.67711162567139;1;168.405197143555;30.9472563141433;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;2.95702655850138;0.0453205811582457;0.0270596653541946;6.74467039108276;1;168.405197143555;30.9550492998349;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;3.38092228367396;0.0517465240122136;0.0270596653541946;6.74467039108276;1;168.405197143555;30.9628489258385;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;3.80496107884986;0.0590902216660894;0.0319212508771417;6.82069396972656;1;168.405197143555;30.9706497674075;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;4.22913951649566;0.0674392448031679;0.0362345504367287;6.90518045425415;1;168.405197143555;30.9784572579644;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;4.65345141612574;0.0768670380369967;0.039748689083921;6.99812650680542;1;168.405197143555;30.9784572579644;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;4.65345141612574;0.0768670380369967;0.0423694550799538;7.0995306968689;1;168.405197143555;30.9862686859447;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;5.07788964671659;0.0874371054430063;0.0423694550799538;7.0995306968689;1;168.405197143555;30.9940813343071;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;5.50244346349042;0.0992070851254831;0.0441506265128618;7.20938873291016;1;168.405197143555;31.0019006447023;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;5.927102101096;0.112225797609672;0.0453242474744627;7.32769727706909;1;168.405197143555;31.0097211787005;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;6.3518524935866;0.126538216844301;0.0463567364448772;7.45445442199707;1;168.405197143555;31.0097211787005;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;6.3518524935866;0.126538216844301;0.0479986424036663;7.58965635299683;1;168.405197143555;31.0175483834478;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;6.77668093560305;0.142181662718843;0.0479986424036663;7.58965635299683;1;168.405197143555;31.0253795405428;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;7.20157164422082;0.159188920176251;0.051246089563;7.73329877853394;1;168.405197143555;31.0332119260872;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;7.62650748860065;0.17758782575921;0.0571275908632628;7.88537883758545;1;168.405197143555;31.0410509954862;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;8.0514714008132;0.19740135375624;0.0663924771321128;8.04589366912842;1;168.405197143555;31.0410509954862;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;8.0514714008132;0.218647398302575;0.0793626423307013;8.21484279632568;1;168.405197143555;31.048891296575;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;8.47644494291863;0.218647398302575;0.0793626423307013;8.21484279632568;1;168.405197143555;31.0567382902755;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;8.90140785993948;0.241340785360707;0.0960396530533037;8.39222240447998;1;168.405197143555;31.0645892513239;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;9.32634156044402;0.265491597590364;0.116290394922683;8.57803058624268;1;168.405197143555;31.0724414489381;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;9.75122591509384;0.291105488587287;0.139965755860286;8.77226161956787;1;168.405197143555;31.0803003523307;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;9.75122591509384;0.318186158707026;0.166942645618547;8.97491836547852;1;168.405197143555;31.0803003523307;42.1012992858887;1.09874454051521;0;0.0158599910916369
9.80750914906181;10.1760401306178;0.318186158707026;0.166942645618547;9.18599605560303;1;168.405197143555;31.0881632321078;42.1012992858887;1.09874454051521;0;0.0158599910916369
